Sales,Longevity,Similar_Sales,Prior_Demand,Advertising_budget,Similar_Products,Competitor_Products,Ads,Competitor_Ads,Magazine,Awards,Innovative,Product_necessity,Type,Cheap,Disposable,Tested,Warranty,Competitor_Launch,Styles
10000,1,918600,8300,538046,17,76,15,1,17,1,0,1,Bath,1,1,1,1,1,1
8000,1,981000,7600,557614,11,50,1,2,5,0,0,1,Bath,1,1,0,0,0,0
5000,1,31600,8000,1119115,30,66,13,0,25,7,0,0,Bath,1,1,1,0,0,0
16000,1,2657500,7600,58666,42,81,23,5,41,13,0,1,Kitchen,1,1,1,1,0,1
32000,1,2671700,6900,428382,58,98,29,13,38,2,0,1,Bath,1,1,1,1,1,1
10000,0,2936200,7600,300522,22,47,13,0,17,0,0,1,Office,1,1,1,0,1,0
5000,1,1411600,6900,414785,25,112,14,0,15,0,0,0,Bath,1,1,0,1,0,0
2000,0,2936200,5400,56051,1,7,1,0,1,0,0,0,Bath,1,1,0,0,0,0
5000,0,2936200,5600,29,4,28,1,0,4,0,0,1,Bath,1,0,0,0,1,0
6000,1,538300,5100,508995,47,78,13,12,21,0,0,0,Bath,0,0,1,0,0,0
3000,1,2657500,6900,17619,6,71,0,3,2,0,0,0,Bath,1,1,0,0,0,0
2000,1,2054000,4300,1698,4,53,2,0,3,0,0,1,Office,0,1,0,0,0,0
5000,1,456200,6500,37635,18,54,2,5,10,0,0,1,Kitchen,1,1,0,0,0,1
8000,1,1684000,6900,216645,11,45,13,0,17,5,0,1,Bath,1,0,1,0,0,0
19000,1,1467500,7000,670326,49,58,27,3,44,9,0,1,Bath,1,0,1,0,0,1
2000,1,281900,6100,77366,19,42,6,1,14,0,0,0,Kitchen,1,0,0,0,0,0
19000,1,918600,8800,332670,28,99,8,4,13,0,0,0,Bath,1,1,1,1,0,1
23000,1,890700,6400,746269,35,96,3,10,7,1,0,0,Bath,1,0,0,0,0,0
2000,0,2777700,7900,111812,5,37,0,0,3,0,0,1,Bath,1,1,0,0,0,0
6000,1,1797300,7300,304225,10,85,0,3,4,0,0,0,Bath,1,1,1,1,0,0
2000,1,206100,6400,371070,29,29,15,0,28,4,0,0,Bath,1,1,0,0,0,0
